squareFootage,lighting,price,rooms,bathrooms,latitude,longitude,description,ammenities
200,medium,250000.00,3,2,34.052200,-118.243700,Charming 3-bedroom home in a quiet neighborhood with easy access to parks and schools.,"{""garage"":true,""pool"":false,""yard"":true}"
850,high,180000.00,2,1,40.712800,-74.006000,Cozy 2-bedroom apartment in the heart of downtown with natural lighting and city views.,"{""garage"":false,""pool"":true,""yard"":false}"
1600,low,320000.00,4,3,37.774900,-122.419400,Spacious family home with a large yard and close to shopping centers.,"{""garage"":true,""pool"":true,""yard"":true}"
2000,medium,450000.00,5,4,25.761700,-80.191800,"Modern home with high-end finishes, located in a sunny and popular area with great schools.","{""garage"":true,""pool"":true,""yard"":true}"
900,low,150000.00,2,1,41.878100,-87.629800,Affordable 2-bedroom condo with easy access to public transit and local shops.,"{""garage"":false,""pool"":false,""yard"":false}"
1200,high,280000.00,3,2,32.776700,-96.797000,Updated ranch-style home with modern amenities and an open floor plan.,"{""garage"":true,""pool"":false,""yard"":true}"
750,medium,195000.00,1,1,47.606200,-122.332100,Stylish studio apartment in trendy neighborhood with excellent walkability score.,"{""garage"":true,""pool"":false,""yard"":false}"
3000,high,650000.00,6,4,39.739200,-104.990300,Luxury mountain view estate with high ceilings and premium fixtures throughout.,"{""garage"":true,""pool"":true,""yard"":true}"
1100,medium,225000.00,3,2,35.227100,-80.843100,Well-maintained townhouse in family-friendly community with shared amenities.,"{""garage"":false,""pool"":true,""yard"":true}"
1800,low,380000.00,4,2,33.749000,-84.388000,Historic craftsman with original details and modern updates in prime location.,"{""garage"":true,""pool"":false,""yard"":true}"
950,high,210000.00,2,2,42.360100,-71.058900,Recently renovated condo with harbor views and updated kitchen.,"{""garage"":true,""pool"":true,""yard"":false}"
2500,medium,520000.00,5,3,36.162700,-86.781600,Southern charm meets modern living in this expansive family home.,"{""garage"":true,""pool"":true,""yard"":true}"
680,low,160000.00,1,1,45.515500,-122.678900,Efficient starter home perfect for minimalist living with great investment potential.,"{""garage"":false,""pool"":false,""yard"":false}"
1400,high,295000.00,3,2,30.267200,-97.743100,Contemporary home in growing tech hub with smart home features.,"{""garage"":true,""pool"":false,""yard"":true}"
2200,medium,475000.00,4,3,38.907200,-77.036900,Elegant colonial with finished basement and private garden oasis.,"{""garage"":true,""pool"":true,""yard"":true}"
